LV2016015216	groecology is today a source of numerous publications defining the term as a science , a movement or a set of practices ( Wezel et al. , 2009 , 2014 ).	defining	numerous publications	the term	as a science , a movement or a set of practices	1	1			
CN2013000814	The carbon ( C ) , nitrogen ( N ) and phosphorus ( P ) variations of a temperate wetland soil under continuous cultivation for 40 yr were determined and evaluated in the Sanjiang Plain , Northeast China.	were evaluated	The carbon ( C ) , nitrogen ( N ) variations of a temperate wetland soil under continuous cultivation for 40 yr	in the Sanjiang Plain	1	1				
JP1999005348	The micro-watershed which is a unit for conservation planning , is a group of regions sharing similar agro-ecology , socio - economy , and culture.	sharing	regions	similar agro - ecology , socio - economy	1	1				
FI2016100194	Iraqi cereal production dropped sharply in the past decade due to problems with its seed multiplication system , leading to degrada - tion of seed quality and productivity.	dropped	Iraqi cereal production	sharply	in the past decade	due to problems with its seed multiplication system	leading to degrada - tion of seed productivity	1	1	
XF2018001309	Presenting eco-agriculture systems that are somewhat unique in comparison to those of the United States , Latin America , and Europe , Agroecology in China gives insight on how Chinese agroecologists , under the political and cultural systems specific to China , have created a strong foundation for ecologically sound agroecosystem design and management that can be applied and adapted to food systems elsewhere in the world.	gives	Presenting eco-agriculture systems	insight on how Chinese agroecologists , under the political systems specific to China , have created a strong foundation for ecologically sound agroecosystem design	1	1				
XF2018001369	The author shows us the as of yet dispersed but growing movement of many smallholder farmers , projects , programs , research , and policy agendas that are making the change.	are making	the as of yet dispersed but growing movement of many research	the change	1	1				
BG1999000464	The soil samples were collected from treatments of a long - term field experiment with maize and wheat , grown in 27 - year rotation : 1.	were collected	The soil samples	from treatments of a long - term field experiment with maize	1	1				
QW2012000848	The project ' Community - based Fish Culture in Seasonal Floodplains ' ( henceforward the community - based fish culture project ) , CGIAR Challenge Program on Water and Food , aims to enhance fish production in seasonal floodplains to improve and sustain rural livelihoods in Bangladesh , Cambodia , China , Mali and Vietnam.	aims	The project ' Community - based Fish Culture in Seasonal Floodplains ' ( henceforward the community - based fish culture project ) , CGIAR Challenge Program on Food	to enhance fish production in seasonal floodplains	1	1				
FR2019128544	Then , multi-local tests improved our knowledge of the relationships ( in terms of damage ) between a set of sorghum cultivars and these pests , while laboratory studies put forward a likely cause of sorghum resistance to mirid bugs , namely quicker endosperm hardening.	improved	multi-local tests	our knowledge of the relationships	while laboratory studies put forward a likely cause of sorghum resistance to mirid bugs	Then	1	1		
ES20030027581	Nos interesa , de modo especifico , plantear y comentar la necesidad por revisar desde una perspectiva autocritica los quehaceres disciplinarios dispuestos en un ejercicio de contacto directo con las poblaciones indigenas de nuestra region , que tipo de metodologias transporta la agroecologia?	necesidad	Nos interesa	por revisar desde una perspectiva autocritica los quehaceres disciplinarios dispuestos en un ejercicio de contacto directo con las poblaciones indigenas de nuestra region , que tipo de metodologias transporta la agroecologia	1	1				
